property,58
private,58
continue,58
Corona,58
quiet,58
level,58
attending,58
famous,58
deal,58
process,58
Department,58
daughters,58
record,58
Dan,58
Alex,58
Tania,58
hope,57
popular,57
reasons,57
true,57
Jack,57
returned,57
Colombia,57
Banks,57
parts,56
biggest,56
weeks,56
watch,56
Mother,56
Sunday,56
Washington,56
paper,56
songs,56
light,56
HAUP,56
band,55
director,55
businesses,55
pavilion,55
Aida,55
June,54
opportunity,54
position,54
traditional,54
type,54
projects,54
basically,54
hand,54
attend,54
relatives,54
professional,54
stopped,54
Robert,54
changing,54
busy,54
settled,54
served,54
influence,54
Army,54
return,54
watching,54
Mexico,54
Pavilion,54
Ellen,54
created,53
share,53
fight,53
meetings,53
team,53
funny,53
practice,53
bars,53
based,53
crazy,53
inside,53
Greek,53
law,53
museum,53
Salman,53
oldest,52
resident,52
borough,52
common,52
afford,52
power,52
society,52
Assembly,52
Peru,52
decision,52
shares,52
Boston,52
Anthony,52
Vivian,52
training,51
garden,51
led,51
held,51
blocks,51
gonna,51
Carol,51
apartments,50
color,50
field,50
retired,50
lucky,50
clothes,50
location,50
volunteer,50
shelter,50
Roosevelt,50
Europe,50
workers,49
generation,49
turn,49
wrong,49
immigration,49
involvement,49
window,49
death,49
states,49
movement,49
kinds,49
staff,49
parish,49
JE,49
friendly,48
noticed,48
market,48
Association,48
games,48
isnt,48
single,48
offered,48
gallery,48
Elaine,48
Mavilia,48
Sergio,48
style,47
relationships,47
land,47
respect,47
AIDS,47
cousins,47
floor,47
general,47
feet,47
mentions,47
pictures,47
current,47
dogs,47
Marie,47
musicians,47
cool,47
studies,47
Latin,47
mentioned,47
Carlos,47
FUBU,47
Family,46
identity,46
original,46
trees,46
baby,46
traffic,46
Project,46
Art,46
studied,46
Florida,46
Great,46
short,46
reading,46
Hispanic,46
Kew,45
ethnic,45
Union,45
leaving,45
plans,45
driving,45
England,45
elementary,45
word,45
bigger,45
exhibits,45
trains,45
owners,45
supposed,45
radio,45
listen,45
news,45
spaces,45
Curtis,45
Harlem,44
construction,44
clubs,44
loves,44
drive,44
design,44
join,44
shops,44
Day,44
dollars,44
cut,44
queens,44
speaking,44
scene,44
estate,44
studying,44
Josephine,44
energy,44
creative,44
sit,43
graduate,43
accepted,43
form,43
successful,43
immigrated,43
Public,43
California,43
pavilions,43
buying,43
Laurelton,43
drugs,43
clothing,43
asks,43
Queen,43
military,43
literally,43
Kim,43
Bruce,43
air,42
owner,42
politicians,42
Helen,42
youngest,42
meant,42
hang,42
nearby,42
case,42
provided,42
success,42
Board,42
piece,42
trust,42
closed,42
selling,42
situation,42
south,42
Paul,42
Elai,42
telling,41
fell,41
unique,41
finally,41
opportunities,41
hip,41
customers,41
Ralph,41
shopping,41
September,41
Beach,41
MC,41
manager,41
easier,41
finding,41
positive,41
wall,41
face,41
fall,41
hop,41
Richard,41
Square,41
Ernst,41
Adelina,41
hit,40
traveling,40
boss,40
connection,40
applied,40
North,40
stage,40
sitting,40
wrote,40
bank,40
finished,40
Parade,40
village,40
pick,40
worker,40
Borough,40
George,40
film,40
game,40
boroughs,40
elected,40
March,40
movies,40
languages,40
Nick,40
umm,40
Warfield,40
Jews,39
grown,39
Pomonok,39
skills,39
traditions,39
holidays,39
Garden,39
media,39
familys,39
view,39
Science,39
Walter,39
considered,39
lady,39
Asians,39
French,39
path,38
hanging,38
attention,38
figure,38
human,38
cold,38
neighbor,38
grandchildren,38
Parkway,38
courses,38
continues,38
lunch,38
crew,38
negative,38
weve,38
Johns,38
differences,38
reflects,38
medical,38
points,38
names,38
follow,38
send,37
hired,37
Meadows,37
junior,37
freedom,37
race,37
sees,37
break,37
ice,37
youve,37
partner,37
entire,37
newspaper,37
Trump,37
dancing,37
afraid,37
sick,37
discussed,37
sports,37
types,37
festival,37
lights,37
knowing,37
totally,37
computer,37
series,37
dad,37
plan,37
included,37
questions,37
wearing,37
Point,37
Lesbian,37
European,37
Puerto,36
track,36
peoples,36
ball,36
offer,36
Central,36
road,36
dinner,36
quality,36
introduced,36
fear,36
traveled,36
organized,36
weekends,36
completely,36
spend,36
song,36
inspired,36
drawing,36
focus,36
poor,36
Music,36
Ecuador,36
basketball,36
impact,36
security,36
Tshaka,36
Society,35
adult,35
urban,35
planning,35
commute,35
Briarwood,35
Rockaways,35
Woodhaven,35
hold,35
fast,35
till,35
wedding,35
violence,35
experienced,35
period,35
Today,35
Moved,35
Attended,35
treated,35
WWII,35
brings,35
raise,35
control,35
discuss,35
Hollis,35
Depression,35
Haiti,35
equipment,35
records,35
magazine,35
assistant,35
masters,35
Houses,35
Aili,35
Vietnam,35
activist,35
Audrey,35
Gladys,35
Lady,35
Merrill,35
influenced,34
chose,34
bike,34
natural,34
baseball,34
stand,34
hour,34
killed,34
Howard,34
majority,34
putting,34
Introduction,34
Jane,34
Virginia,34
Latinos,34
Patrick,34
opening,34
alive,34
bees,34
DJs,34
filled,34
eating,34
physical,34
Capalbi,34
low,34
ground,34
aware,34
faith,34
Socrates,34
connected,34
Nettie,34
cook,33
focused,33
pregnant,33
doctor,33
nature,33
save,33
international,33
Hong,33
committee,33
faced,33
transition,33
Frank,33
advice,33
drug,33
wait,33
hands,33
Party,33
Mexican,33
scholarship,33
childrens,33
November,33
include,33
minutes,33
Road,33
required,33
professor,33
priest,33
Times,33
folks,33
Wow,33
ready,33
incredible,33
rap,33
Director,32
broken,32
serve,32
shared,32
choice,32
pride,32
draw,32
products,32
advantage,32
Caribbean,32
Parents,32
Steinway,32
gas,32
December,32
science,32
picture,32
Civil,32
pass,32
hearing,32
churches,32
basement,32
papers,32
Chicago,32
Joseph,32
army,32
touch,32
super,32
July,32
Albans,32
journey,32
contact,32
gentrification,32
Khylla,32
Watson,32
Dimola,32
Meredith,32
Eva,32
Judith,32
Memory,31
Marys,31
cents,31
coop,31
Latino,31
model,31
finds,31
goal,31
clean,31
previous,31
encouraged,31
district,31
provide,31
supported,31
incident,31
television,31
buses,31
Middle,31
challenge,31
musical,31
nurse,31
boyfriend,31
companies,31
regular,31
site,31
Brown,31
patients,31
rich,31
material,31
Interview,31
Darryl,31
Jazmine,31
access,30
funding,30
legal,30
status,30
green,30
gender,30
step,30
sounds,30
income,30
April,30
storm,30
participate,30
understanding,30
Masters,30
Life,30
Canada,30
remained,30
developed,30
ideas,30
insurance,30
Growing,30
interviewed,30
girlfriend,30
birthday,30
wanting,30
details,30
National,30
listening,30
graffiti,30
Main,30
EW,30
SALGA,30
Elinore,30
Lisa,30
August,29
Saturday,29
supportive,29
pursue,29
